Batch,Workflow,Cases,Contains,??????? ,Status,Compliance,Closed,???????,"???
?????"
Batch 01,Order Lifecycle (????? ???? ??????),5,"* submit-online-order
* update-order
* confirm-order
* create-runsheet
* force-unassign-runsheet
","• ?????? ???? ???? Order.
• ?????? ???? ????? ???????.",Approved,96%,Closed,"?? ????? ???? ??????? ??????? ???????? ??? ???? ?? ???? ?????????.",Batch 01 — Order Lifecycle\????? ????? 
Batch 02,Picking Workflow,4,"* start-picking
* complete-picking
*cancel-picking
* reopen-picking ","• ?????? ??? Picking Completed.
• ?????? ????? ??? ??? ??? ???????.
",Approved,95%,Closed,"?? ???? ????? ??????? ?????.
??? ??? ???????? ?????? ??????.
",Batch 02 — Picking Workflow\????? ?????
Batch 03,Loading Workflow ,5,"start-loading
complete-loading
cancel-loading
reopen-loading
sync-run-sheet-details
","???????:
• ?????? ??? Loading Completed.
• ?????? ??????? ???:
o Orders
o RunSheet
o Stock
o Accounting
???? ????? ???? ?????? ???????.
",Approved,98%,Closed,?? ???? ??????? ??????? ???? ?????? Batch.,????? ????? Batch 03
Batch 04,Runsheet Engine,4,"
create-runsheet (?? ???????? ????) ?? Batch 01 ???????? approved 
sync-run-sheet-details   (?? ???????? ????)      ???????? approved
force-unassign-runsheet (?? ???????? ????) ?? Batch 01   ???????? approved 
unload-runsheet
","
??????:
• Runsheet Lifecycle
• Projection Layer
• Driver Assignment
• Route Structure
• Runsheet Source Of Truth
",Approved,,,,????? ?????   Batch04
Batch 05,Delivery Engine ,6,"start-delivery

complete-delivery

start-order-delivery

complete-order-delivery

cancel-delivery

cancel-order-delivery

save-delivery-item
","??????
Delivery Completed

?

Invoice

?

Revenue

?

COGS

?

Customer Ledger
",Approved,95%,Closed,,????? ????? Batch 05
Batch 06,Returns Engine ,5,"start-return

complete-return

cancel-return

reopen-return

create-credit-note
",?????????,Approved,95%,Closed,,????? ????? Batch 06
Batch 07,Settlement Engine,2,"save-daily-settlement

report-discrepancy",,Approved,98%,Closed,,????? ????? Batch 07
Batch 08,Inventory Engine,9,"create-stock-voucher

send-stock-voucher

receive-stock-voucher

complete-stock-voucher

cancel-stock-voucher

receive-purchase

save-purchase-order

bulk-stock-adjustment

save-inventory-count
",???????? ????????,"Deferred – Phase 2
Batch08 = Pending P0
???????? P0 / P1 / P2 (??? ?????? ?? ???????)",,????,"
??? ???????: ""????? ??? ?????? ?????? ???? ??? Batches ????? ????? ?? ????.""

???? ???? ?????:

????? ????? ?? ??? ??????? ??????? ??????? ???? ???????.
???? ????????? ??? ????? ???? ??????? ????? ?? ??????? ??????.???? ??????? ",????? ????? Batch 08
Batch 09,Batch 09 — Accounting Engine,3,save-journal-entry,,,,Conditionally Approved,,????? ????? Batch 09
10,Batch10 Master Data,,"save-item
delete-item
save-customer
delete-customer
save-supplier
delete-supplier
save-employee
delete-employee
save-branch
delete-branch
save-category
save-role
delete-role
save-settings",,Approved,,Closed,,????? ????? Batch 10
11,System Configuration Engine,,"save-settings
?? ????? ??? Batch 10
seed-roles
?? ????? ??? Batch 13
seed-stock-branches
?? ????? ??? Batch 13
setup-van-branch
?? ????? ??? Batch 13",?? ??????? ???? ?????? ?????? ????,,,,,
12,Reporting Engine,,"get-profit-loss

get-balance-sheet

get-cash-flow

get-trial-balance

get-pnl-by-cost-center

get-driver-dashboard
",,Approved,98%,Closed,"??? ????? ???? ?? get-driver-dashboard? ???? ??????? ??????? ???????",????? ????? Batch 12
13,Batch13 Infrastructure,1,"log-action

seed-roles
seed-stock-branches
setup-van-branch",,Approved,,Closed,,????? ????? Batch 13
14,Batch14 Treasury,3,"save-payment-voucher

save-receipt-voucher

save-transfer-voucher",,Approved,,Closed,,????? ????? Batch 14
15,???? ?????,,"append-to-runsheet
cancel-receiving
cancel-unload
delete-order
reopen-receiving
save-sales-invoice
start-receiving
update-driver-ledger",,,,,,
,,,,,,,,,
,,,,,,,,,
